img_path,annot_path
Template1_Instance0.jpg,Template1_Instance0.json
Template1_Instance1.jpg,Template1_Instance1.json
Template1_Instance2.jpg,Template1_Instance2.json
Template1_Instance3.jpg,Template1_Instance3.json
Template1_Instance4.jpg,Template1_Instance4.json
Template1_Instance5.jpg,Template1_Instance5.json
Template1_Instance6.jpg,Template1_Instance6.json
Template1_Instance7.jpg,Template1_Instance7.json
Template1_Instance8.jpg,Template1_Instance8.json
Template1_Instance9.jpg,Template1_Instance9.json
Template1_Instance10.jpg,Template1_Instance10.json
Template1_Instance11.jpg,Template1_Instance11.json
Template1_Instance12.jpg,Template1_Instance12.json
Template1_Instance13.jpg,Template1_Instance13.json
Template1_Instance14.jpg,Template1_Instance14.json
Template1_Instance15.jpg,Template1_Instance15.json
Template1_Instance16.jpg,Template1_Instance16.json
Template1_Instance17.jpg,Template1_Instance17.json
Template1_Instance18.jpg,Template1_Instance18.json
Template1_Instance19.jpg,Template1_Instance19.json
Template1_Instance20.jpg,Template1_Instance20.json
Template1_Instance21.jpg,Template1_Instance21.json
Template1_Instance22.jpg,Template1_Instance22.json
Template1_Instance23.jpg,Template1_Instance23.json
Template1_Instance24.jpg,Template1_Instance24.json
Template1_Instance25.jpg,Template1_Instance25.json
Template1_Instance26.jpg,Template1_Instance26.json
Template1_Instance27.jpg,Template1_Instance27.json
Template1_Instance28.jpg,Template1_Instance28.json
Template1_Instance29.jpg,Template1_Instance29.json
Template1_Instance30.jpg,Template1_Instance30.json
Template1_Instance31.jpg,Template1_Instance31.json
Template1_Instance32.jpg,Template1_Instance32.json
Template1_Instance33.jpg,Template1_Instance33.json
Template1_Instance34.jpg,Template1_Instance34.json
Template1_Instance35.jpg,Template1_Instance35.json
Template1_Instance36.jpg,Template1_Instance36.json
Template1_Instance37.jpg,Template1_Instance37.json
Template1_Instance38.jpg,Template1_Instance38.json
Template1_Instance39.jpg,Template1_Instance39.json
Template1_Instance40.jpg,Template1_Instance40.json
Template1_Instance41.jpg,Template1_Instance41.json
Template1_Instance42.jpg,Template1_Instance42.json
Template1_Instance43.jpg,Template1_Instance43.json
Template1_Instance44.jpg,Template1_Instance44.json
Template1_Instance45.jpg,Template1_Instance45.json
Template1_Instance46.jpg,Template1_Instance46.json
Template1_Instance47.jpg,Template1_Instance47.json
Template1_Instance48.jpg,Template1_Instance48.json
Template1_Instance49.jpg,Template1_Instance49.json
Template1_Instance50.jpg,Template1_Instance50.json
Template1_Instance51.jpg,Template1_Instance51.json
Template1_Instance52.jpg,Template1_Instance52.json
Template1_Instance53.jpg,Template1_Instance53.json
Template1_Instance54.jpg,Template1_Instance54.json
